,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
5548,2,1.0,1.0,1.0,180.0,2,1125,1
5255,2,1.0,1.0,1.0,100.0,4,1125,8
7171,2,0.0,1.0,1.0,59.0,2,15,9
3388,2,2.0,1.0,2.0,60.0,1,1125,2
5505,2,1.0,1.0,1.0,70.0,3,1125,2
7403,3,1.0,1.0,0.0,70.0,2,25,118
5375,4,3.0,1.5,0.0,110.0,6,1125,24
965,2,1.0,1.0,1.0,85.0,5,1125,22
5090,2,0.0,1.5,1.0,100.0,3,1125,0
3616,4,2.0,1.0,3.0,115.0,4,60,64
3506,3,2.0,1.0,2.0,115.0,4,1125,22
7387,3,1.0,1.0,2.0,125.0,3,1125,1
1933,4,2.0,1.0,2.0,195.0,3,1125,166
5048,4,2.0,1.0,4.0,100.0,3,1125,37
513,2,2.0,2.0,2.0,270.0,5,31,2
3744,4,1.0,1.0,2.0,110.0,2,1125,81
2372,4,2.0,1.0,3.0,100.0,5,90,19
3869,3,2.0,1.0,2.0,80.0,3,1125,18
3348,2,1.0,1.0,1.0,60.0,4,30,101
1350,4,1.0,1.0,1.0,220.0,5,15,16
7467,3,1.0,1.0,2.0,130.0,3,30,27
2655,2,0.0,1.0,0.0,57.0,3,1125,34
4657,2,0.0,1.0,1.0,40.0,30,35,5
5714,3,1.0,1.0,1.0,95.0,5,90,18
2978,1,1.0,1.0,1.0,49.0,5,120,6
7114,4,1.0,1.0,2.0,110.0,3,7,26
3385,2,1.0,1.0,1.0,55.0,7,1125,1
2319,4,1.0,1.0,2.0,69.0,30,305,235
2401,3,1.0,1.0,2.0,90.0,4,365,54
4268,6,2.0,2.0,3.0,1690.0,5,1124,10
7601,3,1.0,1.0,1.0,100.0,3,30,38
4324,2,1.0,1.0,2.0,37.0,3,40,41
4960,2,0.0,1.0,1.0,70.0,4,60,31
4700,2,0.0,1.0,1.0,55.0,4,1125,71
3249,6,2.0,1.0,2.0,65.0,4,10,11
5354,3,1.0,1.0,2.0,78.0,3,1125,83
2075,4,2.0,1.0,3.0,85.0,4,1125,11
6328,8,3.0,3.0,5.0,475.0,1,1125,0
7921,7,4.0,3.0,4.0,460.0,3,1125,11
2300,5,3.0,1.0,10.0,160.0,2,7,66
3577,2,0.0,1.0,1.0,55.0,2,30,6
4100,1,1.0,1.0,1.0,25.0,5,1125,19
6014,4,2.0,1.0,2.0,119.0,7,15,1
5135,3,1.0,1.0,1.0,50.0,2,30,17
7163,2,0.0,1.0,1.0,69.0,14,1125,12
6235,7,4.0,2.0,5.0,220.0,3,1124,30
2714,5,3.0,1.0,3.0,160.0,5,1125,34
7702,4,1.0,1.0,2.0,90.0,6,1125,1
1763,1,2.0,1.0,1.0,35.0,3,16,59
7819,2,1.0,1.0,1.0,99.0,5,1125,46
6073,4,1.0,1.0,2.0,95.0,3,38,3
4914,2,0.0,1.0,1.0,67.0,3,1125,47
4264,2,1.0,1.0,1.0,74.0,1,27,74
6699,2,1.0,1.0,1.0,47.0,1,1125,1
5034,4,1.0,1.0,2.0,79.0,3,365,12
7223,2,1.0,1.0,1.0,65.0,10,1125,33
7627,2,1.0,1.0,1.0,58.0,3,1125,77
6696,4,1.0,1.0,1.0,100.0,2,10,30
1426,4,1.0,1.0,2.0,110.0,5,60,13
1179,4,1.0,1.0,1.0,90.0,4,1125,100
6668,3,1.0,1.0,3.0,50.0,2,15,105
936,4,0.0,1.0,2.0,58.0,2,1125,34
5879,4,1.0,1.0,2.0,80.0,5,21,0
521,1,1.0,1.0,1.0,50.0,2,3,187
900,3,2.0,1.0,1.0,100.0,3,1125,11
7222,2,0.0,1.0,0.0,50.0,20,120,10
2105,3,1.0,1.0,1.0,74.0,1,30,8
1045,2,1.0,1.0,1.0,95.0,3,8,22
7665,3,1.0,1.0,2.0,120.0,2,1125,47
2313,3,1.0,1.0,2.0,50.0,2,31,16
7668,3,1.0,1.0,2.0,49.0,7,1125,0
3644,6,3.0,1.0,8.0,220.0,4,15,54
2369,2,1.0,1.0,1.0,50.0,2,15,64
1213,2,1.0,1.0,1.0,85.0,2,1125,68
3592,4,1.0,1.0,1.0,195.0,3,60,58
587,4,1.0,1.0,2.0,195.0,21,180,1
2627,3,0.0,1.0,1.0,59.0,2,90,173
1132,2,1.0,1.0,2.0,42.0,15,120,4
7289,2,1.0,1.0,2.0,50.0,3,30,76
1993,4,2.0,1.0,3.0,150.0,2,1125,25
1306,4,1.0,1.0,2.0,195.0,90,365,2
6175,2,1.0,1.5,1.0,195.0,3,1125,8
4134,2,1.0,1.0,1.0,95.0,4,28,18
309,4,3.0,1.0,3.0,550.0,7,90,13
6952,2,1.0,1.0,1.0,120.0,2,1125,29
4928,4,3.0,1.0,3.0,110.0,2,15,43
6072,2,1.0,1.0,2.0,52.0,2,20,27
536,2,0.0,1.0,1.0,90.0,3,1125,159
4518,2,0.0,1.0,1.0,110.0,4,15,13
1175,2,1.0,1.0,1.0,110.0,2,30,10
5568,1,1.0,1.0,1.0,25.0,5,21,25
3282,1,1.0,1.0,1.0,48.0,1,1125,105
5068,2,0.0,1.0,2.0,65.0,2,1125,5
7542,5,2.0,1.0,3.0,84.0,6,1125,2
7104,4,3.0,2.0,3.0,130.0,1,1125,0
3740,2,1.0,1.0,2.0,60.0,2,20,7
2628,5,2.0,1.0,3.0,160.0,4,30,4
6605,2,1.0,1.0,1.0,30.0,3,15,37
6821,2,1.0,1.0,1.0,45.0,2,1125,0
3120,2,1.0,1.0,1.0,75.0,1,1125,513
2662,2,1.0,1.5,1.0,35.0,5,1124,38
7214,4,2.0,2.0,2.0,220.0,1,1125,1
2964,3,1.0,1.0,1.0,133.0,91,1125,9
2917,5,3.0,1.0,3.0,210.0,5,28,31
4323,2,0.0,1.0,1.0,75.0,3,1125,1
786,2,0.0,1.0,1.0,60.0,3,120,10
6955,4,1.0,1.0,1.0,288.0,3,1125,5
3696,2,0.0,1.0,1.0,99.0,3,1125,6
4006,4,1.0,1.0,2.0,105.0,6,1125,4
3256,2,1.0,1.0,1.0,70.0,2,1125,72
5736,2,1.0,1.0,1.0,80.0,2,1125,39
3713,5,1.0,1.0,3.0,127.0,4,1125,166
1992,4,2.0,1.0,2.0,305.0,4,120,40
4608,2,2.0,1.0,3.0,65.0,1,1125,0
31,4,1.0,1.0,2.0,145.0,5,90,216
1850,3,1.0,1.0,1.0,75.0,2,330,0
3908,5,2.0,1.0,3.0,110.0,2,10,34
5165,3,1.0,1.0,2.0,70.0,3,30,5
627,5,4.0,2.0,3.0,170.0,4,160,2
7880,2,1.0,1.0,1.0,70.0,1,1,21
4302,2,0.0,1.0,1.0,35.0,4,1125,21
7495,2,1.0,1.0,1.0,200.0,3,1125,0
2522,4,2.0,1.0,3.0,178.0,7,28,15
1832,2,1.0,1.0,1.0,95.0,3,8,9
248,2,1.0,1.0,1.0,100.0,7,60,4
3747,4,2.0,1.5,3.0,149.0,2,60,59
7662,4,2.0,1.0,1.0,85.0,3,1124,26
6681,3,1.0,1.0,1.0,60.0,1,1125,2
5150,5,2.0,1.0,3.0,140.0,20,1125,0
7790,3,1.0,1.0,1.0,75.0,2,1125,0
3911,2,1.0,1.0,1.0,60.0,4,30,24
858,4,1.0,1.0,3.0,99.0,2,7,177
3507,5,3.0,1.5,4.0,85.0,5,1124,15
7057,4,1.0,1.0,1.0,60.0,4,1125,44
635,4,2.0,1.0,3.0,315.0,7,30,3
5382,6,2.0,1.0,5.0,120.0,2,1125,12
479,2,1.0,1.0,1.0,72.0,3,14,0
1960,2,1.0,1.0,1.0,90.0,1,1125,0
7218,2,1.0,1.0,0.0,88.0,2,1125,191
422,4,1.0,1.0,3.0,190.0,2,26,18
6835,5,2.0,1.0,3.0,130.0,5,1125,2
7478,2,1.0,1.0,1.0,130.0,91,1125,11
724,2,1.0,1.0,1.0,55.0,5,30,0
593,2,1.0,1.0,1.0,39.0,2,4,247
5098,1,1.0,1.0,1.0,44.0,2,30,98
6433,2,1.0,1.0,1.0,100.0,1,30,1
148,3,1.0,1.0,1.0,85.0,3,365,70
7298,4,0.0,1.0,0.0,85.0,4,14,15
194,2,1.0,1.0,1.0,65.0,6,21,63
1789,5,3.0,2.5,3.0,115.0,4,21,11
7929,5,1.0,1.0,4.0,150.0,2,1125,80
3016,2,1.0,1.0,1.0,78.0,2,11,47
6592,3,1.0,1.0,2.0,90.0,1,1125,0
1410,2,1.0,1.0,1.0,98.0,5,65,64
3823,3,3.0,1.0,3.0,100.0,5,1125,20
6202,4,2.0,1.0,2.0,92.0,2,1125,11
5842,9,3.0,2.0,6.0,280.0,3,1125,134
3006,4,1.0,1.0,1.0,70.0,2,1125,1
5910,2,0.0,1.0,1.0,55.0,2,1125,11
3844,4,0.0,1.0,2.0,90.0,1,1125,321
578,5,2.0,1.0,3.0,145.0,2,90,9
4696,2,0.0,1.0,1.0,120.0,7,1125,0
4312,2,1.0,1.0,1.0,150.0,3,1125,0
6524,2,1.0,1.0,0.0,100.0,3,7,4
7267,2,1.0,1.0,2.0,105.0,2,1125,211
2605,2,1.0,1.0,1.0,57.0,3,10,172
1500,4,2.0,2.0,3.0,290.0,2,1125,7
7425,2,1.0,1.0,1.0,70.0,1,1125,0
268,2,1.0,1.0,1.0,100.0,4,70,25
1226,2,1.0,1.0,1.0,20.0,6,30,0
582,4,1.0,1.0,1.0,75.0,4,21,31
5995,8,2.0,1.0,2.0,200.0,1,1125,71
3264,2,1.0,1.5,1.0,90.0,4,100,22
1623,2,1.0,1.5,1.0,70.0,2,7,17
6268,2,1.0,1.0,1.0,55.0,2,4,0
7701,4,0.0,1.0,2.0,79.0,4,15,196
195,4,2.0,1.0,3.0,150.0,3,40,15
2139,4,2.0,1.5,3.0,250.0,5,365,39
6053,4,1.0,1.0,1.0,110.0,1,1125,163
4067,4,2.0,2.0,3.0,200.0,3,1125,198
1929,6,3.0,2.5,4.0,349.0,3,1125,63
7105,2,0.0,1.0,1.0,60.0,2,1125,29
1027,4,1.0,1.0,2.0,110.0,3,30,110
4401,2,1.0,1.0,1.0,85.0,5,45,36
5971,3,1.0,1.0,1.0,72.0,1,1125,0
6585,4,1.0,0.0,2.0,63.0,1,1125,0
1118,2,1.0,1.0,1.0,70.0,2,60,14
3517,6,3.0,2.0,6.0,900.0,2,90,10
1663,2,1.0,1.5,1.0,49.0,28,120,188
6941,2,1.0,1.0,1.0,70.0,1,1125,0
1948,2,1.0,1.0,1.0,55.0,2,7,84
6046,6,2.0,1.0,3.0,75.0,7,1125,3
3815,2,1.0,1.0,1.0,89.0,5,1125,32
3695,2,1.0,1.0,1.0,75.0,3,21,222
6312,2,1.0,1.0,1.0,50.0,7,1125,3
5491,4,1.0,1.0,4.0,105.0,6,1125,0
5661,2,1.0,1.0,1.0,160.0,4,7,0
1502,6,3.0,1.0,3.0,250.0,2,365,10
4969,3,2.0,1.0,2.0,75.0,3,1125,0
4690,1,1.0,1.0,1.0,60.0,1,1125,0
3997,2,1.0,1.0,1.0,59.0,4,14,10
5825,4,1.0,1.0,2.0,189.0,7,1125,18
7759,2,1.0,1.0,1.0,77.0,2,4,20
522,4,1.0,1.0,1.0,120.0,3,305,51
7065,2,0.0,1.0,1.0,70.0,2,4,36
1980,3,1.0,1.5,1.0,150.0,3,1125,72
4145,2,0.0,1.0,2.0,128.0,30,1125,2
1114,6,2.0,1.0,2.0,90.0,7,40,9
163,3,1.0,1.0,2.0,125.0,2,10,71
5431,4,2.0,1.0,3.0,125.0,1,1125,0
486,4,1.0,1.0,1.0,98.0,30,365,28
6381,4,1.0,1.0,1.0,130.0,1,1125,0
1631,4,1.0,1.0,2.0,130.0,1,1125,222
4668,4,2.0,2.0,3.0,210.0,7,60,23
7960,4,2.0,2.0,3.0,395.0,4,1125,25
2553,2,1.0,1.0,1.0,88.0,3,28,21
3135,5,2.0,2.0,2.0,210.0,1,1125,74
273,2,0.0,1.0,1.0,86.0,5,31,110
7059,5,1.0,1.5,3.0,179.0,4,1125,17
7237,2,1.0,1.0,1.0,70.0,4,29,2
5846,2,1.0,1.0,1.0,42.0,5,1125,9
4800,4,1.0,1.5,1.0,75.0,90,100,1
5200,2,1.0,1.0,1.0,95.0,4,14,51
3153,4,2.0,1.0,2.0,80.0,1,1125,161
3953,2,0.0,1.0,1.0,64.0,3,1125,98
771,4,1.0,1.0,0.0,90.0,4,90,14
679,6,3.0,1.5,5.0,210.0,3,1125,57
3487,4,2.0,2.0,2.0,270.0,2,30,26
5947,4,3.0,2.0,3.0,140.0,3,1125,1
3472,2,1.0,1.0,1.0,30.0,2,6,21
949,6,2.0,1.0,3.0,150.0,1,1125,1
2074,2,1.0,1.0,1.0,60.0,4,1125,0
2899,2,1.0,1.0,1.0,50.0,7,30,11
1675,2,1.0,1.0,1.0,100.0,6,60,49
6230,2,1.0,1.0,1.0,250.0,6,15,17
4481,2,1.0,1.0,1.0,45.0,4,10,67
5209,5,1.0,1.5,3.0,95.0,4,1125,19
3793,2,2.0,1.0,2.0,80.0,2,1125,0
3730,2,0.0,1.0,1.0,80.0,15,1125,0
5739,5,3.0,1.0,4.0,99.0,3,20,7
4953,2,0.0,1.0,1.0,35.0,2,50,22
7078,4,1.0,1.0,2.0,96.0,2,1125,234
4366,2,1.0,1.5,1.0,195.0,7,32,10
1311,2,1.0,1.0,1.0,110.0,1,7,152
2726,4,0.0,1.0,0.0,79.0,4,1125,44
6868,2,1.0,1.0,1.0,23.0,3,1125,18
4364,2,1.0,1.5,0.0,130.0,1,30,40
7496,2,1.0,1.0,1.0,115.0,10,1125,25
3022,4,0.0,1.0,2.0,115.0,2,90,302
2455,4,1.0,1.0,2.0,64.0,4,14,3
3049,2,0.0,1.0,1.0,60.0,1,112,31
5848,2,1.0,1.0,1.0,95.0,1,1125,12
6458,4,1.0,1.0,1.0,168.0,3,1125,27
843,4,1.0,1.0,2.0,120.0,7,1125,0
3449,4,1.0,1.0,2.0,96.0,3,15,45
2725,12,5.0,3.0,7.0,500.0,2,1125,94
4015,3,1.0,1.0,2.0,85.0,5,1125,3
3155,2,0.0,1.0,1.0,55.0,5,60,7
4849,4,1.0,1.0,2.0,78.0,2,1125,58
3109,3,1.0,1.5,2.0,120.0,14,30,3
713,3,1.0,1.0,1.0,150.0,4,21,3
615,2,1.0,1.0,1.0,90.0,6,30,20
6833,10,4.0,3.5,4.0,480.0,2,1125,14
424,5,1.0,1.0,1.0,215.0,5,365,10
2967,2,1.0,1.0,0.0,40.0,7,1125,22
1820,4,2.0,2.0,2.0,300.0,6,6,48
5831,5,3.0,2.0,5.0,250.0,6,90,0
6089,6,2.0,2.0,2.0,169.0,6,1125,4
5260,3,1.0,1.0,2.0,70.0,8,1125,3
4938,2,0.0,1.0,1.0,65.0,1,1125,5
601,2,1.0,1.0,1.0,90.0,2,30,10
5887,4,0.0,1.0,2.0,100.0,4,1125,13
7349,2,0.0,1.0,1.0,73.0,2,1125,36
1428,3,1.0,1.0,1.0,77.0,2,100,168
5028,2,1.0,1.0,1.0,50.0,1,1125,0
3401,4,2.0,1.0,0.0,160.0,6,15,12
3118,4,2.0,1.0,2.0,293.0,5,120,4
6264,2,1.0,1.0,1.0,70.0,1,1125,56
183,2,1.0,1.0,1.0,120.0,3,30,140
4140,2,1.0,1.0,1.0,100.0,2,365,47
7821,2,1.0,1.0,1.0,60.0,4,90,57
1387,2,0.0,1.0,1.0,69.0,2,1125,276
5221,4,1.0,1.0,2.0,70.0,3,27,43
2102,4,1.0,1.0,2.0,120.0,365,365,16
2444,4,2.0,1.0,2.0,220.0,3,45,19
5939,4,1.0,1.0,2.0,66.0,2,20,27
1,2,0.0,1.0,1.0,115.0,1,90,173
3173,4,1.0,1.0,2.0,60.0,15,1125,5
5049,4,1.0,1.0,3.0,90.0,1,1125,1
5570,4,1.0,1.0,4.0,109.0,3,30,137
5254,4,2.0,1.0,2.0,159.0,4,30,15
3069,2,1.0,1.0,1.0,65.0,2,1125,110
2789,6,3.0,2.0,3.0,380.0,4,30,19
5279,2,1.0,1.0,1.0,175.0,6,50,84
4309,1,1.0,1.0,1.0,100.0,31,90,0
2571,6,3.0,1.0,4.0,240.0,5,1125,28
3987,2,1.0,1.0,1.0,79.0,14,1124,23
5275,2,1.0,1.0,2.0,75.0,4,15,0
5814,4,1.0,1.0,2.0,250.0,2,1125,2
4391,4,2.0,1.5,3.0,99.0,3,8,66
6976,4,2.0,2.0,2.0,240.0,7,1125,13
6069,6,3.0,2.0,3.0,199.0,3,1125,2
5309,2,0.0,1.0,1.0,120.0,1,1125,0
3935,4,1.0,1.0,2.0,90.0,3,1125,219
3660,2,1.0,1.0,1.0,80.0,3,1125,40
3485,3,0.0,1.0,2.0,80.0,4,30,28
2501,3,1.0,1.0,2.0,150.0,5,1125,0
3771,4,1.0,1.0,2.0,120.0,3,1125,0
4566,8,3.0,3.5,4.0,590.0,2,1125,48
6248,3,3.0,1.0,2.0,195.0,6,21,6
2528,6,2.0,1.0,3.0,200.0,1,1125,0
3181,3,0.0,1.0,2.0,96.0,7,1125,3
7283,2,1.0,1.0,1.0,75.0,2,1125,0
3550,6,2.0,1.5,6.0,125.0,4,1125,2
617,5,2.0,1.0,3.0,135.0,3,1125,199
4638,7,2.0,1.0,5.0,270.0,1,1125,38
1895,2,1.0,1.0,1.0,75.0,30,1125,4
6930,3,1.0,1.0,1.0,70.0,2,1125,31
3108,2,1.0,1.0,1.0,70.0,2,31,21
6425,2,0.0,1.0,2.0,90.0,7,30,107
6903,4,1.0,1.0,2.0,40.0,1,1125,0
3996,2,1.0,1.0,1.0,50.0,90,1124,18
5000,2,0.0,1.0,1.0,100.0,4,1125,161
2467,3,2.0,1.0,3.0,75.0,3,29,9
6881,2,1.0,1.0,1.0,119.0,1,4,0
2924,2,0.0,1.5,0.0,50.0,5,120,15
995,2,1.0,7.0,1.0,30.0,1,100,74
4002,2,1.0,1.0,1.0,230.0,3,40,3
1281,3,1.0,1.0,1.0,120.0,3,90,4
7247,1,1.0,0.5,1.0,35.0,7,1125,10
1891,2,0.0,1.0,1.0,75.0,30,200,24
4105,2,1.0,1.0,1.0,150.0,3,1125,6
2878,2,0.0,1.0,1.0,60.0,1,1125,8
5043,6,2.0,1.0,4.0,150.0,5,1125,20
6796,10,4.0,4.0,4.0,220.0,3,1125,15
5128,4,0.0,1.0,2.0,85.0,1,20,111
4855,6,2.0,1.0,4.0,94.0,2,90,102
809,3,2.0,1.0,2.0,109.0,5,21,0
4637,5,2.0,1.0,2.0,130.0,3,15,52
6866,2,1.0,1.0,1.0,36.0,21,365,1
7732,3,2.0,1.0,2.0,127.0,3,31,251
1023,4,2.0,1.0,3.0,103.0,3,365,15
2479,3,1.0,1.0,2.0,145.0,2,60,78
354,3,1.0,1.0,2.0,73.0,5,365,13
3561,3,0.0,1.5,2.0,69.0,1,30,266
958,2,1.0,7.0,1.0,29.0,1,100,196
5327,4,2.0,1.5,3.0,80.0,4,14,2
3492,4,1.0,1.0,2.0,150.0,5,1125,21
6637,2,1.0,1.0,1.0,70.0,1,1125,0
1632,2,1.0,1.0,1.0,159.0,7,14,0
2555,4,3.0,1.0,4.0,110.0,4,30,3
1985,2,1.0,1.0,1.0,50.0,30,61,13
6059,5,2.0,2.0,3.0,175.0,2,1125,5
4450,4,2.0,1.0,4.0,170.0,3,28,42
6892,2,1.0,1.0,1.0,90.0,7,30,131
3913,4,1.0,1.0,2.0,150.0,1,1125,1
3557,2,2.0,1.0,2.0,68.0,4,300,15
5628,6,2.0,1.0,5.0,149.0,3,180,19
6295,2,0.0,1.0,2.0,30.0,2,1125,7
332,4,1.0,1.0,2.0,89.0,15,365,18
2312,1,1.0,1.0,1.0,62.0,1,365,171
2373,3,1.0,1.0,2.0,189.0,2,95,28
938,4,2.0,1.0,2.0,110.0,3,180,1
3036,4,1.0,1.0,2.0,110.0,1,1125,0
4772,3,1.0,1.0,2.0,88.0,90,120,0
2316,6,3.0,2.0,3.0,140.0,4,30,25
3703,3,1.0,1.0,1.0,50.0,1,1125,0
2220,6,2.0,1.0,1.0,32.0,13,45,6
6913,2,0.0,1.0,0.0,63.0,5,1125,7
1228,2,1.0,1.0,1.0,50.0,3,8,0
7822,2,1.0,1.0,1.0,98.0,3,1125,5
6483,3,1.0,1.0,2.0,64.0,2,100,46
3832,2,1.0,1.0,1.0,68.0,2,1125,286
3132,3,1.0,1.0,2.0,75.0,6,14,0
735,2,0.0,1.0,1.0,80.0,7,60,15
115,2,1.0,1.0,1.0,110.0,2,21,52
2781,4,1.0,1.0,2.0,88.0,3,1125,14
6744,2,1.0,1.0,1.0,54.0,2,1125,16
4496,2,0.0,1.0,1.0,63.0,30,90,34
4523,6,2.0,1.5,5.0,170.0,3,1125,83
4701,1,1.0,1.0,1.0,20.0,30,90,3
59,2,1.0,1.0,1.0,80.0,5,365,48
4561,5,3.0,1.0,3.0,135.0,7,15,3
3515,3,1.0,1.0,1.0,149.0,3,25,44
7816,2,0.0,1.0,1.0,85.0,4,1125,5
4520,4,1.0,1.0,2.0,70.0,7,30,7
7005,1,1.0,0.0,1.0,15.0,1,1125,0
3701,4,1.0,1.0,2.0,150.0,1,1125,113
2036,2,1.0,1.0,1.0,50.0,3,16,25
2214,2,1.0,1.0,1.0,95.0,2,1125,26
2299,4,1.0,1.0,2.0,70.0,1,1125,134
381,2,1.0,1.0,1.0,115.0,3,31,254
5588,2,2.0,1.0,2.0,47.0,5,30,43
4602,2,1.0,1.0,1.0,65.0,2,1125,20
7812,3,2.0,1.5,2.0,99.0,3,1125,16
2753,1,1.0,1.0,1.0,60.0,2,60,41
3460,2,0.0,1.0,1.0,67.0,28,1125,29
359,2,1.0,1.0,1.0,59.0,4,30,58
4054,2,1.0,1.0,1.0,78.0,30,120,98
2357,3,1.0,1.0,1.0,75.0,2,1125,372
146,2,1.0,1.0,1.0,80.0,2,15,12
3003,2,1.0,1.0,1.0,50.0,2,15,20
7489,4,2.0,1.0,2.0,90.0,2,1125,28
4472,2,1.0,1.0,1.0,62.0,3,1125,20
4980,2,0.0,1.0,1.0,10.0,2,15,5
3726,5,1.0,1.0,3.0,115.0,20,1125,13
5185,4,2.0,1.0,2.0,100.0,2,1125,0
3698,7,4.0,3.0,4.0,390.0,5,30,36
1041,2,1.0,1.0,1.0,40.0,11,27,4
825,5,3.0,2.0,4.0,120.0,4,60,5
2610,4,1.0,1.0,2.0,70.0,3,16,14
7401,2,1.0,1.0,2.0,70.0,5,60,33
3321,2,1.0,1.0,1.0,75.0,7,90,10
7192,1,0.0,0.5,1.0,39.0,30,305,15
2143,2,1.0,1.0,2.0,165.0,3,365,15
2266,2,1.0,1.0,1.0,180.0,3,30,188
7511,5,1.0,1.0,3.0,125.0,5,90,20
455,2,1.0,1.0,1.0,80.0,5,45,35
3923,4,1.0,1.0,2.0,99.0,2,21,47
751,4,1.0,1.0,2.0,140.0,5,17,115
7905,2,0.0,1.0,1.0,90.0,2,30,69
2194,6,2.0,1.0,3.0,175.0,5,60,32
3029,3,1.0,1.0,2.0,64.0,3,365,11
2463,2,1.0,1.0,1.0,92.0,3,7,108
7041,2,0.0,1.0,1.0,90.0,1,1125,0
7076,2,1.0,1.0,1.0,95.0,1,1125,173
4766,1,1.0,1.0,1.0,40.0,2,31,12
2602,2,1.0,1.0,1.0,90.0,2,1125,5
2999,2,0.0,1.5,2.0,75.0,3,6,0
6196,4,1.0,1.0,2.0,75.0,6,1125,0
4981,2,0.0,1.0,1.0,49.0,2,1125,2
7916,2,1.0,1.0,1.0,44.0,4,1125,6
1289,4,1.0,1.0,2.0,70.0,90,365,56
5439,4,1.0,1.0,2.0,70.0,3,15,2
4166,4,1.0,1.0,2.0,75.0,5,20,3
7301,4,1.0,1.0,1.0,60.0,4,1125,1
1601,2,1.0,1.0,1.0,150.0,5,30,8
7763,4,2.0,1.0,2.0,84.0,2,1125,0
3406,4,2.0,2.0,2.0,148.0,2,25,34
7035,2,1.0,1.0,1.0,210.0,2,16,31
3511,2,1.0,1.0,1.0,79.0,2,1125,6
4509,2,1.0,1.0,1.0,33.0,3,1125,0
6762,2,1.0,1.0,2.0,95.0,5,1125,8
2729,2,1.0,1.0,1.0,35.0,3,1125,5
2486,4,2.0,1.0,3.0,190.0,30,300,12
372,4,1.0,1.0,1.0,150.0,1,365,3
714,2,1.0,1.0,1.0,89.0,3,15,3
6364,2,1.0,1.0,1.0,70.0,5,1125,4
5872,4,2.0,1.0,2.0,69.0,31,1124,42
4192,9,3.0,2.0,0.0,290.0,2,14,78
7617,4,1.0,1.0,4.0,100.0,3,365,0
5723,1,0.0,1.0,1.0,40.0,7,30,3
5774,4,2.0,1.0,2.0,250.0,7,20,0
6288,2,1.0,1.0,1.0,90.0,3,92,126
7827,2,1.0,1.0,1.0,218.0,2,1125,141
5705,2,1.0,1.0,1.0,80.0,4,1125,2
6948,2,0.0,1.0,2.0,35.0,365,1125,2
447,3,1.0,1.0,2.0,245.0,2,30,3
3482,4,2.0,1.5,2.0,200.0,7,99,22
817,2,1.0,1.0,1.0,55.0,14,365,11
5854,3,2.0,1.0,3.0,110.0,6,1125,13
2261,2,1.0,1.0,2.0,110.0,3,1125,21
2378,6,3.0,2.0,3.0,250.0,4,30,28
2052,2,1.0,1.0,1.0,150.0,4,30,17
2913,2,1.0,1.0,1.0,75.0,1,365,19
1255,3,0.0,1.0,1.0,50.0,2,366,199
3224,4,1.0,1.0,1.0,150.0,91,1125,3
4639,4,1.0,1.0,2.0,76.0,1,7,77
894,2,1.0,1.0,1.0,60.0,3,30,4
5337,2,1.0,1.0,1.0,35.0,1,1125,6
1935,7,4.0,3.0,5.0,400.0,2,30,20
7709,2,1.0,1.0,1.0,140.0,4,1125,32
4398,4,0.0,1.0,2.0,99.0,3,1125,226
630,5,2.0,1.0,3.0,150.0,3,30,16
6532,4,1.0,1.5,2.0,70.0,3,1125,0
4972,1,1.0,1.5,0.0,41.0,2,150,53
5485,5,2.0,1.0,3.0,120.0,2,25,53
1897,2,1.0,1.0,1.0,75.0,1,14,110
5502,3,2.0,2.0,2.0,240.0,4,30,23
2040,4,1.0,1.0,3.0,70.0,2,1125,19
1405,2,1.0,1.0,1.0,67.0,2,60,27
3107,4,2.0,1.0,2.0,119.0,2,1125,46
7499,4,1.0,1.0,2.0,95.0,3,1125,8
5132,4,1.0,1.0,2.0,118.0,2,1125,0
2292,2,1.0,1.0,0.0,68.0,92,110,1
4897,2,0.0,1.0,1.0,60.0,1,1125,0
7523,2,1.0,1.0,1.0,90.0,2,30,10
5631,4,2.0,2.0,3.0,210.0,2,28,30
4214,6,3.0,2.0,3.0,149.0,5,1125,2
3146,2,1.0,1.0,1.0,50.0,3,15,34
5805,2,0.0,1.0,1.0,70.0,3,200,19
891,5,4.0,1.0,4.0,100.0,4,14,27
3903,2,0.0,1.0,1.0,65.0,3,1125,1
3045,4,1.0,1.0,2.0,120.0,4,31,9
1392,5,2.0,1.0,3.0,130.0,2,5,4
641,4,1.0,1.0,2.0,170.0,1,10,43
4313,3,1.0,1.0,2.0,125.0,3,1125,71
629,4,2.0,1.0,3.0,90.0,3,120,163
5658,8,4.0,2.0,4.0,250.0,5,1125,7
6574,4,2.0,2.0,3.0,285.0,2,1125,9
3302,4,1.0,1.0,0.0,75.0,30,305,10
5981,4,1.0,1.0,2.0,150.0,1,1125,2
314,4,1.0,1.0,2.0,189.0,2,30,107
1692,4,1.0,1.0,2.0,90.0,2,1125,0
1506,2,1.0,1.0,0.0,130.0,1,365,218
3493,2,1.0,1.0,1.0,49.0,2,9,21
5660,2,1.0,1.0,1.0,55.0,3,1125,0
1448,6,2.0,2.0,4.0,139.0,4,365,3
3665,4,2.0,1.0,3.0,160.0,3,1125,4
1034,2,1.0,1.0,1.0,50.0,2,31,30
